FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"规模","guīmó","規模",zh-CN,zh-CN
"真","zhēn","本当に、実に",zh-CN,zh-CN
"有","yǒu","ある、いる",zh-CN,zh-CN
"栋","dòng","〜棟",zh-CN,zh-CN
"教学楼","jiàoxuélóu","教室棟、校舎",zh-CN,zh-CN
"第","dì","第、〜番目",zh-CN,zh-CN
"你看","nǐ kàn","ほら、見て",zh-CN,zh-CN
"旁边(儿)","pángbiān(r)","横、隣",zh-CN,zh-CN
"图书馆","túshūguǎn","図書館",zh-CN,zh-CN
"后边(儿)","hòubian(r)","後ろ、後ろの方",zh-CN,zh-CN
"车站","chēzhàn","駅、バス停",zh-CN,zh-CN
"听说","tīngshuō","〜だそうだ、(〜と)聞いている",zh-CN,zh-CN
"日本","Rìběn","",zh-CN,zh-CN
"一般","yìbān","普通は、一般的には",zh-CN,zh-CN
"住","zhù","住む",zh-CN,zh-CN
"里面(儿)","lǐmiàn(r)","中、内側",zh-CN,zh-CN
"是吗","shì ma","そうなんですか、〜なんですか",zh-CN,zh-CN
"欸","éi","ねえ、あれ",zh-CN,zh-CN
"一起","yìqǐ","一緒に",zh-CN,zh-CN
"食堂","shítáng","",zh-CN,zh-CN
"吃饭","chīfàn","食事をする",zh-CN,zh-CN
"怎么样","zěnmeyàng","〜(しては)どうですか？",zh-CN,zh-CN
"好","hǎo","はい、よし",zh-CN,zh-CN
"在","zài","ある、いる",zh-CN,zh-CN
"这边(儿)","zhèbian(r)/zhèibian(r)","こっち",zh-CN,zh-CN
"来","lái","〜しよう",zh-CN,zh-CN
"姥姥","lǎolao","母方の祖母",zh-CN,zh-CN
"身体","shēntǐ","身体、(身体の)健康・具合",zh-CN,zh-CN
"重庆","Chóngqìng","重慶",zh-CN,zh-CN
"夏天","xiàtiān","夏",zh-CN,zh-CN
"热","rè","暑い、熱い",zh-CN,zh-CN
"学习","xuéxí","勉強",zh-CN,zh-CN
"认真","rènzhēn","真面目だ",zh-CN,zh-CN
"上边(儿)","shàngbian(r)","上、上の方",zh-CN,zh-CN
"上面(儿)","shàngmiàn(r)","上、上の方",zh-CN,zh-CN
"下边(儿)","xiàbian(r)","下、下の方",zh-CN,zh-CN
"下面(儿)","xiàmiàn(r)","下、下の方",zh-CN,zh-CN
"前边(儿)","qiánbian(r)","前、先、前方",zh-CN,zh-CN
"前面(儿)","qiánmiàn(r)","前、先、前方",zh-CN,zh-CN
"后面(儿)","hòumiàn(r)","後ろ、後方",zh-CN,zh-CN
"左边(儿)","zuǒbian(r)","左の方、左側",zh-CN,zh-CN
"左面(儿)","zuǒmiàn(r)","左の方、左側",zh-CN,zh-CN
"右边(儿)","yòubian(r)","右の方、右側",zh-CN,zh-CN
"右面","yòumiàn(r)","右の方、右側",zh-CN,zh-CN
"里边(儿)","lǐbian(r)","中、内側",zh-CN,zh-CN
"外边(儿)","wàibian(r)","外、外側",zh-CN,zh-CN
"外面(儿)","wàimiàn(r)","外、外側",zh-CN,zh-CN
"东边(儿)","dōngbian(r)","東、東の方、東側",zh-CN,zh-CN
"东面(儿)","dōngmiàn(r)","東、東の方、東側",zh-CN,zh-CN
"南边(儿)","nánbian(r)","南、南の方、南側",zh-CN,zh-CN
"南面(儿)","nánmiàn(r)","南、南の方、南側",zh-CN,zh-CN
"西边(儿)","xībian(r)","西、西の方、西側",zh-CN,zh-CN
"西面(儿)","xīmiàn(r)","西、西の方、西側",zh-CN,zh-CN
"北边(儿)","běibian(r)","北、北の方、北側",zh-CN,zh-CN
"北面(儿)","běimiàn(r)","北、北の方、北側",zh-CN,zh-CN
"对面(儿)","duìmiàn(r)","向かい側",zh-CN,zh-CN
"那边(儿)","nàbian(r)/nèibian(r)","あっち",zh-CN,zh-CN
"哪边(儿)","nǎbian(r)/něibian(r)","どっち",zh-CN,zh-CN
"桌子","zhuōzi","机、テーブル",zh-CN,zh-CN
"上","shang","上、上の方",zh-CN,zh-CN
"白板","báibǎn","ホワイトボード",zh-CN,zh-CN
"里","li","中、内側",zh-CN,zh-CN
"笔记本","bǐjìběn","ノート",zh-CN,zh-CN
"办公室","bàngōngshì","事務室、オフィス",zh-CN,zh-CN
"知道","zhīdào","知る、分かる",zh-CN,zh-CN
"对不起","duìbuqǐ","ごめんなさい",zh-CN,zh-CN
"家","jiā","",zh-CN,zh-CN
"公园","gōngyuán","公園",zh-CN,zh-CN
"便利店","biànlìdiàn","コンビニエンスストア",zh-CN,zh-CN
