FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"你好","nǐhǎo","こんにちは",zh-CN,zh-CN
"你","nǐ","あなた、君",zh-CN,
"是","shì","〜だ、〜である、はい",zh-CN,zh-CN
"留学生","liúxuéshēng","",zh-CN,zh-CN
"吗","ma","〜ですか、〜しますか",zh-CN,zh-CN
"我","wǒ","私",zh-CN,zh-CN
"不","bù","〜しない、〜ではない、いいえ",zh-CN,zh-CN
"中国人","Zhōngguórén","",zh-CN,zh-CN
"叫","jiào","(名前は)〜という",zh-CN,zh-CN
"什么","shénme","なに、どんな",zh-CN,zh-CN
"名字","míngzi","名前(フルネーム)",zh-CN,zh-CN
"日本人","Rìběnrén","",zh-CN,zh-CN
"学","xué","学ぶ、勉強する",zh-CN,zh-CN
"汉语","Hànyǔ","中国語",zh-CN,zh-CN
"对","duì","その通りである、正しい、はい",zh-CN,zh-CN
"法律","fǎlǜ","",zh-CN,zh-CN
"去","qù","行く",zh-CN,zh-CN
"教室","jiàoshì","",zh-CN,zh-CN
"再见","zàijiàn","さようなら",zh-CN,zh-CN
"我们","wǒmen","私たち",zh-CN,zh-CN
"咱们","zánmen","私たち(聞き手を含む)",zh-CN,zh-CN
"您","nín","あなた(敬称)",zh-CN,zh-CN
"你们","nǐmen","あなたたち、君たち",zh-CN,zh-CN
"他","tā","彼",zh-CN,zh-CN
"她","tā","彼女",zh-CN,zh-CN
"它","tā","それ、あれ",zh-CN,zh-CN
"他们","tāmen","彼ら",zh-CN,zh-CN
"她们","tāmen","彼女たち",zh-CN,zh-CN
"美国人","Měiguórén","アメリカ人",zh-CN,zh-CN
"老师","lǎoshī","先生",zh-CN,zh-CN
"吃","chī","食べる",zh-CN,zh-CN
"中国菜","Zhōngguócài","中華料理",zh-CN,zh-CN
"喝","hē","飲む",zh-CN,zh-CN
"咖啡","kāfēi","コーヒー",zh-CN,zh-CN
"买","mǎi","買う",zh-CN,zh-CN
"手表","shǒubiǎo","腕時計",zh-CN,zh-CN
"北京","Běijīng","",zh-CN,zh-CN
"英语","Yīngyǔ","英語",zh-CN,zh-CN
