FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"爷爷","yéye","父方の祖父",zh-CN,zh-CN
"奶奶","nǎinai","父方の祖母",zh-CN,zh-CN
"姥爷","lǎoye","母方の祖父",zh-CN,zh-CN
"姥姥","lǎolao","母方の祖母",zh-CN,zh-CN
"爸爸","bàba","お父さん",zh-CN,zh-CN
"妈妈","māma","お母さん",zh-CN,zh-CN
"哥哥","gēge","お兄さん",zh-CN,zh-CN
"姐姐","jiějie","お姉さん",zh-CN,zh-CN
"弟弟","dìdi","弟",zh-CN,zh-CN
"妹妹","mèimei","妹",zh-CN,zh-CN
"我","wǒ","私",zh-CN,zh-CN
"爱人","àiren","妻、夫",zh-CN,zh-CN
"儿子","érzi","息子",zh-CN,zh-CN
"女儿","nǚ'ér","娘",zh-CN,zh-CN
"一","yī","",zh-CN,zh-CN
"二","èr","",zh-CN,zh-CN
"三","sān","",zh-CN,zh-CN
"四","sì","",zh-CN,zh-CN
"五","wǔ","",zh-CN,zh-CN
"六","liù","",zh-CN,zh-CN
"七","qī","",zh-CN,zh-CN
"八","bā","",zh-CN,zh-CN
"九","jiǔ","",zh-CN,zh-CN
"十","shí","",zh-CN,zh-CN
"十一","shíyī","",zh-CN,zh-CN
"十二","shí'èr","",zh-CN,zh-CN
"十三","shísān","",zh-CN,zh-CN
"二十","èrshí","",zh-CN,zh-CN
"二十一","èrshiyī","",zh-CN,zh-CN
"二十二","èrshi'èr","",zh-CN,zh-CN
"九十九","jiǔshijiǔ","",zh-CN,zh-CN
"你好","nǐhǎo","こんにちは",zh-CN,zh-CN
"再见","zàijiàn","さようなら",zh-CN,zh-CN
"谢谢","xièxie","ありがとう",zh-CN,zh-CN
"不客气","bú kèqi","どういたしまして",zh-CN,zh-CN
"对不起","duìbuqǐ","ごめんなさい",zh-CN,zh-CN
"没关系","méi guānxi","構いません",zh-CN,zh-CN
"现在点名","xiànzài diǎnmíng","点呼をとります",zh-CN,zh-CN
"到","dào","はい",zh-CN,zh-CN
"东京","Dōngjīng","東京",zh-CN,zh-CN
"中国","Zhōngguó","中国",zh-CN,zh-CN
"香港","Xiānggǎng","香港",zh-CN,zh-CN
"深圳","Shēnzhèn","深圳",zh-CN,zh-CN
"台湾","Táiwān","台湾",zh-CN,zh-CN
"德国","Déguó","ドイツ",zh-CN,zh-CN
"朝鲜","Cháoxiǎn","朝鮮",zh-CN,zh-CN
"福建","Fújiàn","福建",zh-CN,zh-CN
"北京","Běijīng","北京",zh-CN,zh-CN
"美国","Měiguó","アメリカ",zh-CN,zh-CN
"蒙古","Ménggǔ","モンゴル",zh-CN,zh-CN
"武汉","Wǔhàn","武漢",zh-CN,zh-CN
"四川","Sìchuān","四川",zh-CN,zh-CN
"澳门","Aomén","モンゴル",zh-CN,zh-CN
"日本","Rìběn","日本",zh-CN,zh-CN
"印度","Yìndù","インド",zh-CN,zh-CN
