FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"谁","shéi","だれ",zh-CN,zh-CN
"手机","shǒujī","携帯電話、スマートフォン",zh-CN,zh-CN
"谢谢","xièxie","ありがとう",zh-CN,zh-CN
"不客气","bú kèqi","どういたしまして",zh-CN,zh-CN
"班","bān","クラス",zh-CN,zh-CN
"认识","rènshi","知り合う、知っている",zh-CN,zh-CN
"很","hěn","とても",zh-CN,zh-CN
"高兴","gāoxìng","うれしい",zh-CN,zh-CN
"有","yǒu","〜を持っている、〜がいる、〜がある",zh-CN,zh-CN
"微信","Wēixìn","WeChat",zh-CN,zh-CN
"怎么","zěnme","どのように〜",zh-CN,zh-CN
"用","yòng","使う",zh-CN,zh-CN
"app","ēipīpī","アプリ",zh-CN,zh-CN
"非常","fēicháng","とても、非常に",zh-CN,zh-CN
"方便","fāngbiàn","便利だ",zh-CN,zh-CN
"同学","tóngxué","学生、同級生、〜君、〜さん",zh-CN,zh-CN
"面包","miànbāo","パン",zh-CN,zh-CN
"什么时候","shénme shíhou","いつ",zh-CN,zh-CN
"来","lái","来る",zh-CN,zh-CN
"明天","míngtiān","明日",zh-CN,zh-CN
"要","yào","欲しい",zh-CN,zh-CN
"字","zì","",zh-CN,zh-CN
"念","niàn","発音する、音読する",zh-CN,zh-CN
"智能手机","zhìnéng shǒujī","スマートフォン",zh-CN,zh-CN
"没/没有","méi/méiyǒu","〜を持っていない、〜がない、〜がいない",zh-CN,zh-CN
"打印机","dǎyìnjī","プリンター",zh-CN,zh-CN
"朋友","péngyou","友だち",zh-CN,zh-CN
"校园","xiàoyuán","キャンパス",zh-CN,zh-CN
"大","dà","大きい",zh-CN,zh-CN
"北京烤鸭","Běijīng kǎoyā","北京ダック",zh-CN,zh-CN
"好吃","hǎochī","おいしい",zh-CN,zh-CN
"难","nán","難しい",zh-CN,zh-CN
"忙","máng","忙しい",zh-CN,zh-CN
"特别","tèbié","とりわけ、特に",zh-CN,zh-CN
"比较","bǐjiào","わりと、比較的",zh-CN,zh-CN
"北方","běifāng","",zh-CN,zh-CN
"凉快","liángkuai","涼しい",zh-CN,zh-CN
"南方","nánfāng","",zh-CN,zh-CN
"暖和","nuǎnhuo","暖かい",zh-CN,zh-CN
