FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"请问","qǐngwèn","おたずねしますが〜",zh-CN,zh-CN
"蜘蛛侠","Zhīzhūxiá","スパイダーマン",zh-CN,zh-CN
"票","piào","チケット",zh-CN,zh-CN
"多少钱","duōshao qián","いくら",zh-CN,zh-CN
"张","zhāng","〜枚(広い面を持つもの)",zh-CN,zh-CN
"售票员","shòupiàoyuán","チケット・切符の販売員",zh-CN,zh-CN
"几","jǐ","いくつ",zh-CN,zh-CN
"座位","zuòwèi","座席",zh-CN,zh-CN
"中间","zhōngjiān","真ん中",zh-CN,zh-CN
"爆米花","bàomǐhuā","ポップコーン",zh-CN,zh-CN
"和","hé","〜と",zh-CN,zh-CN
"可乐","kělè","コーラ",zh-CN,zh-CN
"看","kàn","見る、読む",zh-CN,zh-CN
"电影","diànyǐng","映画",zh-CN,zh-CN
"坐","zuò","座る、(乗り物に)乗る",zh-CN,zh-CN
"公共汽车","gōnggòng qìchē","バス",zh-CN,zh-CN
"上班","shàngbān","出勤する",zh-CN,zh-CN
"个","ge","〜個、〜人",zh-CN,zh-CN
"位","wèi","〜名",zh-CN,zh-CN
"客人","kèrén","来客",zh-CN,zh-CN
"本","běn","〜冊",zh-CN,zh-CN
"纸","zhǐ","紙",zh-CN,zh-CN
"床","chuáng","ベッド",zh-CN,zh-CN
"条","tiáo","〜本",zh-CN,zh-CN
"鱼","yú","魚",zh-CN,zh-CN
"裤子","kùzi","ズボン",zh-CN,zh-CN
"件","jiàn","衣服(上半身)や事柄等を数える",zh-CN,zh-CN
"衣服","yīfu","服",zh-CN,zh-CN
"事","shì","事、用事",zh-CN,zh-CN
"把","bǎ","取っ手のあるものを数える",zh-CN,zh-CN
"椅子","yǐzi","",zh-CN,zh-CN
"雨伞","yǔsǎn","雨傘",zh-CN,zh-CN
"欢迎光临","huānyíng guānglín","いらっしゃいませ",zh-CN,zh-CN
"多少","duōshao","いくつ、どのくらい",zh-CN,zh-CN
"毛衣","máoyī","セーター",zh-CN,zh-CN
"小朋友","xiǎopéngyǒu","坊や、お嬢ちゃん",zh-CN,zh-CN
"岁","suì","〜歳",zh-CN,zh-CN
"今年","jīnnián","今年",zh-CN,zh-CN
"多大","duō dà","何歳？",zh-CN,zh-CN
