FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"做","zuò","作る",zh-CN,zh-CN
"鱼香肉丝","yúxiāng ròusī","豚の細切り肉のピリ辛炒め",zh-CN,zh-CN
"不错","búcuò","なかなか良い、悪くない",zh-CN,zh-CN
"辣","là","辛い",zh-CN,zh-CN
"怕","pà","〜が苦手である",zh-CN,zh-CN
"没问题","méi wèntí","大丈夫だ",zh-CN,zh-CN
"不太","bú tài","あまり〜ではない",zh-CN,zh-CN
"那","nà","それでは",zh-CN,zh-CN
"吧","ba","〜しよう、〜でしょう",zh-CN,zh-CN
"主食","zhǔshí","",zh-CN,zh-CN
"米饭","mǐfàn","ライス、ご飯",zh-CN,zh-CN
"还是","háishi","〜かそれとも…か",zh-CN,zh-CN
"饺子","jiǎozi","餃子(主に水餃子)",zh-CN,zh-CN
"服务员","fúwùyuán","店員、従業員",zh-CN,zh-CN
"点菜","diǎncài","料理を注文する",zh-CN,zh-CN
"请客","qǐngkè","おごる、ごちそうする",zh-CN,zh-CN
"买单","mǎidān","勘定する",zh-CN,zh-CN
"好的","hǎo de","分かりました",zh-CN,zh-CN
"一共","yígòng","全部で",zh-CN,zh-CN
"两","liǎng","2、2つ",zh-CN,zh-CN
"百","bǎi","",zh-CN,zh-CN
"零","líng","",zh-CN,zh-CN
"块","kuài","〜元",zh-CN,zh-CN
"书包","shūbāo","(学生の)かばん",zh-CN,zh-CN
"初中生","chūzhōngshēng","中学生",zh-CN,zh-CN
"高中生","gāozhōngshēng","高校生",zh-CN,zh-CN
"牛奶","niúnǎi","牛乳",zh-CN,zh-CN
"乌龙茶","wūlóngchá","ウーロン茶",zh-CN,zh-CN
"千","qiān","",zh-CN,zh-CN
"万","wàn","",zh-CN,zh-CN
"亿","yì","億",zh-CN,zh-CN
"多","duō","多い",zh-CN,zh-CN
"就","jiù","ほかならぬ",zh-CN,zh-CN
"最","zuì","最も",zh-CN,zh-CN
"好","hǎo","よい",zh-CN,zh-CN
