"十一", "shíyī", ""
"十三", "shísān", ""
"台湾", "Táiwān", "台湾"
"明天", "míngtiān", "明日"
"南方", "nánfāng", ""
"毛衣", "máoyī", "セーター"
"横滨", "Héngbīn", "横浜"
"前天", "qiántiān", "おととい"
"昨天", "zuótiān", "きのう"
