"再见", "zàijiàn", "さようなら"
"印度", "Yìndù", "インド"
"教室", "jiàoshì", ""
"再见", "zàijiàn", "さようなら"
"照片", "zhàopiàn", "写真"
"座位", "zuòwèi", "座席"
"右面", "yòumiàn(r)", "右の方、右側"
"现在", "xiànzài", "いま、現在"
"大概", "dàgài", "だいたい"
"电视", "diànshì", "テレビ"
