"漢字","拼音","意味"
"十二", "shí'èr", ""
"福建", "Fújiàn", "福建"
"学校", "xuéxiào", ""
"不错", "búcuò", "なかなか良い、悪くない"
"不太", "bú tài", "あまり〜ではない"
"一共", "yígòng", "全部で"
"重庆", "Chóngqìng", "重慶"
