"漢字","拼音","意味"
"德国", "Déguó", "ドイツ"
"银行", "yínháng", "銀行"
"职员", "zhíyuán", "職員"
"学习", "xuéxí", "勉強する"
"年级", "niánjí", "〜年生"
"同学", "tóngxué", "学生、同級生、〜君、〜さん"
"食堂", "shítáng", ""
"学习", "xuéxí", "勉強"
"前年", "qiánnián", "おととし"
"明年", "míngnián", "来年"
