"北京", "Běijīng", "北京"
"老师", "lǎoshī", "先生"
"北京", "Běijīng", ""
"手机", "shǒujī", "携帯電話、スマートフォン"
"好吃", "hǎochī", "おいしい"
"北方", "běifāng", ""
"买单", "mǎidān", "勘定する"
"哪些", "nǎxiē", "どれ、どの"
"哪些", "něixiē", "どれ、どの"
"每天", "měi tiān", "毎日"
