"漢字","拼音","意味"
"东京", "Dōngjīng", "東京"
"咖啡", "kāfēi", "コーヒー"
"公司", "gōngsī", "会社"
"书包", "shūbāo", "(学生の)かばん"
"中间", "zhōngjiān", "真ん中"
"听说", "tīngshuō", "〜だそうだ、(〜と)聞いている"
"今天", "jīntiān", "今日"
"星期", "xīngqī", "〜曜日、週、〜週間"
"分钟", "fēnzhōng", "〜分間"
